iso_code,country_name,sources,link
AGO,Angola,Media: ANGOP Angola Press,https://www.angop.ao/en/noticias/economia/governo-felicita-fmi-pela-materializacao-do-des/
BWA,Botswana,Media: WeekendPost,https://www.weekendpost.co.bw/32093/business/botswana-receives-p3billion-imf-sdr-allocation/
COG,Congo Republic,Media: Agence D'Information D'Afrique Centrale,https://www.adiac-congo.com/content/finances-le-budget-de-letat-exercice-2022-en-hausse-de-15-131187
COD,DR Congo,Media: Actualite.cd,https://actualite.cd/2021/11/13/rdc-felix-tshisekedi-exhorte-le-gouvernement-utiliser-une-partie-des-allocations-dts
COD,DR Congo,Media:MediaCongo.net,https://www.mediacongo.net/article-actualite-96302_la_rdc_pourra_t_elle_beneficier_d_un_second_decaissement_du_fmi_eclairage_de_gabriel_leost_interview.html
COD,DR Congo,Media: ZoomEco,https://zoom-eco.net/finance/rdc-nicolas-kazadi-et-kristalina-georgieva-evoquent-loptimisation-defforts-pour-conclure-un-programme-formel-entre-la-rdc-et-le-fmi/
COD,DR Congo,IMF End-of-Mission press release,https://www.imf.org/en/News/Articles/2021/10/27/pr21312-democratic-rep-of-congo-imf-team-and-authorities-reach-staff-level-agreement-1st-review-ecf
ETH,Ethiopia,"Media: Fortune 
",https://addisfortune.news/ethiopia-secures-408m-from-imf-officials-chuffed/
ETH,Ethiopia,Media: The Reporter,https://www.thereporterethiopia.com/article/ethiopia-chooses-keep-usd-400-million-sdr-reserve
GMB,Gambia,Ministry of Finance press release,https://mofea.gm/downloads-file/the-gambia-will-receive-us85-million-sdrs-allocati
GMB,Gambia,IMF End-of-Mission press release,https://www.imf.org/en/News/Articles/2021/09/22/pr21273-gambia-imf-staff-completes-virtual-mission-2021-aiv-consultation-and-3rd-review-ecf
GHA,Ghana,Ministry of Finance press release,"https://www.mofep.gov.gh/press-release/2021-08-27/ghana-has-received-us1billion-allocation-from-the-historic-us650-billion-imf-sdr-allocation-to-boost-global-recovery#:~:text=of%20Finance%20%7C%20Ghana-,Ghana%20has%20Received%20US%241%20Billion%20Allocation%20from%20the%20Historic,Allocation%20to%20Boost%20Global%20Recovery"
GHA,Ghana,Media: GhanaWeb,https://www.ghanaweb.com/GhanaHomePage/business/IMF-s-US-1bn-support-to-Ghana-will-help-the-Ghana-Cares-programme-Ofori-Atta-1343599
GHA,Ghana,Media: MyJoyOnline,https://www.myjoyonline.com/ghana-to-get-nearly-1bn-in-special-drawing-rights-from-imf/?param=
GHA,Ghana,Media: Ghanaian Times,https://www.ghanaiantimes.com.gh/imf-sdr-support-to-cushion-economy-governor/
GNB,Guinea-Bissau,IMF End-of-Mission press release,https://www.imf.org/en/News/Articles/2021/10/11/pr21296-guinea-bissau-imf-staff-completes-virtual-mission-first-review-staff-monitored-program
KEN,Kenya,Media: Business Daily,https://www.businessdailyafrica.com/bd/economy/kenya-seeks-imf-aid-repay-chinese-loans-3557198
LBR,Liberia,Media: The New Dawn,https://thenewdawnliberia.com/liberia-to-get-us350m-imf-money/
LBR,Liberia,IMF End-of-Mission press release,https://www.imf.org/en/News/Articles/2021/11/24/pr21347-liberia-imf-executive-board-completes-the-third-review-ecf-approves-disbursement
MDG,Madagascar,Media: 2424.mg,https://2424.mg/aides-financieres-lallocation-de-332-millions-de-dollars-du-fonds-monetaire-international-est-deja-versee-a-la-banque-centrale-indique-le-ministere-de-leconomie-et-des-finances/
MDG,Madagascar,Media: 2424.mg,https://2424.mg/travaux-publics-le-processus-en-vue-de-la-rehabilitation-du-troncon-ihosy-betroka-de-la-rn13-lance/
MDG,Madagascar,Media: NewsMada,https://newsmada.com/2021/11/16/relance-post-covid-19-le-secteur-prive-mise-sur-le-renforcement-des-investissements/
MAR,Morocco,Media: Morocco World News,https://www.moroccoworldnews.com/2021/08/344036/imf-grants-morocco-1-2-billion-in-sdr-allocations
NGA,Nigeria,Media: Bloomberg,https://www.bloomberg.com/news/articles/2021-10-08/nigeria-to-use-imf-reserve-boost-to-fund-next-year-s-budget
